trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,20843,2026-01-15 19:58:43.566620,2026-01-15 19:58:43.566620,0.0,31.0,2.0285745232728196,69.0,79.0,27.0,0.0001,0.0001,-1.37537097842521,-5.532612528928455,-6.906842292508896,0.6226415094339622,53,,,,,,
2,20844,2026-01-15 19:58:46.119953,2026-01-15 19:58:46.119953,0.0,35.0,1.6492237160766887,68.0,74.0,25.0,0.0001,0.0001,-1.7321946954034164,-6.3555343798760795,-7.306041463525781,0.5483870967741935,62,,,,,,
3,20845,2026-01-15 19:58:46.263402,2026-01-15 19:58:46.263402,0.0,21.0,1.5460304399263993,50.0,89.0,27.0,0.0001,0.0001,-0.31608820085265227,-1.5599599615566515,-7.7616331532141425,0.7142857142857143,35,,,,,,
4,20846,2026-01-15 19:58:46.802404,2026-01-15 19:58:46.802404,0.0,29.0,1.8655850591641279,65.0,75.0,25.0,0.0001,0.0001,-0.511018140704816,-2.210141462497646,-5.873627228495759,0.6,55,,,,,,
5,20847,2026-01-15 19:58:47.320162,2026-01-15 19:58:47.320162,0.0,34.0,2.203587712458218,43.0,75.0,29.0,0.0001,0.0001,-0.3016736663255285,-0.7421071137490153,-4.712105670667965,0.5471698113207547,53,,,,,,
6,20848,2026-01-15 19:58:47.592596,2026-01-15 19:58:47.592596,0.0,30.0,2.0648741905337937,59.0,89.0,21.0,0.09406789419848616,0.09406789419848616,0.24970178832926593,0.5024147659774725,-3.0493309347862207,0.7083333333333334,24,-2.946371814299224,-3.446391706910057,-3.4463917069099903,0.6666666666666666,15,1279.9562325977538
7,20849,2026-01-15 19:58:47.933054,2026-01-15 19:58:47.933054,0.0,15.0,2.468098764310944,48.0,73.0,27.0,0.0001,0.09406789419848616,-0.2417291652243981,-1.0294849238406045,-7.382094075184642,0.6779661016949152,59,,,,,,
8,20850,2026-01-15 19:58:48.182428,2026-01-15 19:58:48.182428,0.0,24.0,1.7915181211758122,63.0,83.0,18.0,0.09599241058390669,0.09599241058390669,0.22204455828031838,0.5571577225617711,-4.7298492829023875,0.7931034482758621,29,-1.9888611891277725,-2.6214841769347896,-2.6629321194742928,0.6666666666666666,21,995.7036391844156
9,20851,2026-01-15 19:58:48.313489,2026-01-15 19:58:48.313489,0.0,25.0,1.6006441064190544,58.0,88.0,19.0,0.17127538698410075,0.17127538698410075,0.8835578644958885,1.9463668102172624,-3.139421763016148,0.8260869565217391,23,-2.7777852003263557,-3.4174639832645197,-3.4174639832645126,0.6470588235294118,17,414.3863364185223
10,20852,2026-01-15 19:58:48.449722,2026-01-15 19:58:48.449722,0.0,29.0,2.130166344238614,42.0,85.0,28.0,0.0001,0.17127538698410075,-1.4205791582162766,-4.139363709041566,-5.314433414236664,0.6,30,,,,,,
11,20853,2026-01-15 19:58:48.711344,2026-01-15 19:58:48.711344,0.0,27.0,2.3157584720250552,56.0,84.0,25.0,0.0001,0.17127538698410075,-0.33436740969554585,-1.3080563628095863,-4.748042734923564,0.7222222222222222,36,,,,,,
12,20854,2026-01-15 19:58:48.765962,2026-01-15 19:58:48.765962,0.0,16.0,2.3661507173925567,68.0,86.0,29.0,0.0001,0.17127538698410075,-0.2612510042472072,-1.6796524264811357,-6.689792318813992,0.6111111111111112,54,,,,,,
13,20855,2026-01-15 19:58:49.193188,2026-01-15 19:58:49.193188,0.0,19.0,1.5394815191036408,60.0,70.0,22.0,0.0001,0.17127538698410075,-0.13156340489217,-0.8509176216525666,-7.1176540789716025,0.6885245901639344,61,,,,,,
14,20856,2026-01-15 19:58:49.762294,2026-01-15 19:58:49.762294,0.0,28.0,2.354873617185939,69.0,88.0,27.0,0.0001,0.17127538698410075,-0.4892808002870101,-1.6520270305226736,-4.659105470851932,0.6842105263157895,38,,,,,,
