trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,15746,2026-01-14 14:25:13.766030,2026-01-14 14:25:13.766030,0.0,29.0,27.0,66.0,0.0001,0.0001,,,,,,,,,,,
2,15747,2026-01-14 14:25:26.408677,2026-01-14 14:25:26.408677,0.0,41.0,20.0,75.0,0.0001,0.0001,,,,,,,,,,,
3,15748,2026-01-14 14:25:27.701791,2026-01-14 14:25:27.701791,0.0,30.0,13.0,71.0,0.0001,0.0001,,,,,,,,,,,
4,15749,2026-01-14 14:25:28.368446,2026-01-14 14:25:28.368446,0.0,43.0,8.0,71.0,0.0001,0.0001,,,,,,,,,,,
5,15750,2026-01-14 14:25:28.959375,2026-01-14 14:25:28.959375,0.0,24.0,16.0,65.0,0.0001,0.0001,,,,,,,,,,,
6,15751,2026-01-14 14:25:29.417514,2026-01-14 14:25:29.417514,0.0,43.0,28.0,63.0,0.0001,0.0001,,,,,,,,,,,
7,15752,2026-01-14 14:25:38.021702,2026-01-14 14:25:38.021702,0.0,25.0,14.0,68.0,0.0001,0.0001,,,,,,,,,,,
8,15753,2026-01-14 14:25:38.811132,2026-01-14 14:25:38.811132,0.0,34.0,19.0,75.0,0.0001,0.0001,,,,,,,,,,,
9,15754,2026-01-14 14:25:39.112913,2026-01-14 14:25:39.112913,0.0,45.0,8.0,75.0,0.0001,0.0001,,,,,,,,,,,
10,15755,2026-01-14 14:25:42.877393,2026-01-14 14:25:42.877393,0.0,22.0,25.0,61.0,0.0001,0.0001,,,,,,,,,,,
11,15756,2026-01-14 14:25:44.006532,2026-01-14 14:25:44.006532,0.0,40.0,21.0,85.0,0.0001,0.0001,,,,,,,,,,,
12,15757,2026-01-14 14:25:44.182312,2026-01-14 14:25:44.182312,0.0,40.0,12.0,65.0,0.0001,0.0001,,,,,,,,,,,
13,15758,2026-01-14 14:25:53.171157,2026-01-14 14:25:53.171157,0.0,31.0,24.0,60.0,0.0001,0.0001,,,,,,,,,,,
14,15759,2026-01-14 14:25:53.689532,2026-01-14 14:25:53.689532,0.0,37.0,26.0,65.0,0.0001,0.0001,,,,,,,,,,,
15,15760,2026-01-14 14:25:57.033832,2026-01-14 14:25:57.033832,0.0,39.0,11.0,65.0,0.0001,0.0001,,,,,,,,,,,
16,15761,2026-01-14 14:25:57.391471,2026-01-14 14:25:57.391471,0.0,23.0,21.0,72.0,0.0001,0.0001,,,,,,,,,,,
17,15762,2026-01-14 14:25:58.385310,2026-01-14 14:25:58.385310,0.0,37.0,20.0,61.0,0.0001,0.0001,,,,,,,,,,,
18,15763,2026-01-14 14:25:58.725603,2026-01-14 14:25:58.725603,0.0,27.0,10.0,72.0,0.0001,0.0001,,,,,,,,,,,
19,15764,2026-01-14 14:26:07.005139,2026-01-14 14:26:07.005139,0.0,36.0,27.0,67.0,0.0001,0.0001,,,,,,,,,,,
20,15765,2026-01-14 14:26:09.613702,2026-01-14 14:26:09.613702,0.0,28.0,27.0,70.0,0.0001,0.0001,,,,,,,,,,,
21,15766,2026-01-14 14:26:11.027889,2026-01-14 14:26:11.027889,0.0,24.0,23.0,71.0,0.0001,0.0001,,,,,,,,,,,
22,15767,2026-01-14 14:26:11.382802,2026-01-14 14:26:11.382802,0.0,23.0,22.0,80.0,0.0001,0.0001,,,,,,,,,,,
23,15768,2026-01-14 14:26:12.120066,2026-01-14 14:26:12.120066,0.0,41.0,16.0,69.0,0.0001,0.0001,,,,,,,,,,,
24,15769,2026-01-14 14:26:15.404366,2026-01-14 14:26:15.404366,0.0,39.0,26.0,77.0,0.0001,0.0001,,,,,,,,,,,
25,15770,2026-01-14 14:26:21.329519,2026-01-14 14:26:21.329519,0.0,24.0,24.0,78.0,0.0001,0.0001,,,,,,,,,,,
26,15771,2026-01-14 14:26:22.753463,2026-01-14 14:26:22.753463,0.0,27.0,28.0,75.0,0.0001,0.0001,,,,,,,,,,,
27,15772,2026-01-14 14:26:26.281475,2026-01-14 14:26:26.281475,0.0,25.0,27.0,64.0,0.0001,0.0001,,,,,,,,,,,
28,15773,2026-01-14 14:26:27.122433,2026-01-14 14:26:27.122433,0.0,29.0,8.0,61.0,0.0001,0.0001,,,,,,,,,,,
29,15774,2026-01-14 14:26:30.302284,2026-01-14 14:26:30.302284,0.0,27.0,21.0,62.0,0.0001,0.0001,,,,,,,,,,,
30,15775,2026-01-14 14:26:39.357447,2026-01-14 14:26:39.357447,0.0,24.0,14.0,65.0,0.0001,0.0001,,,,,,,,,,,
31,15776,2026-01-14 14:26:42.984112,2026-01-14 14:26:42.984112,0.0,29.0,23.0,78.0,0.0001,0.0001,,,,,,,,,,,
32,15777,2026-01-14 14:26:44.237715,2026-01-14 14:26:44.237715,0.0,41.0,28.0,78.0,0.10996505873503769,0.10996505873503769,,,,,,,,,,,
33,15778,2026-01-14 14:26:46.107746,2026-01-14 14:26:46.107746,0.0,26.0,14.0,79.0,0.0001,0.10996505873503769,,,,,,,,,,,
34,15779,2026-01-14 14:26:46.722886,2026-01-14 14:26:46.722886,0.0,21.0,17.0,64.0,0.0001,0.10996505873503769,,,,,,,,,,,
35,15780,2026-01-14 14:27:00.824030,2026-01-14 14:27:00.824030,0.0,33.0,15.0,71.0,0.0001,0.10996505873503769,,,,,,,,,,,
36,15781,2026-01-14 14:27:04.703948,2026-01-14 14:27:04.703948,0.0,43.0,25.0,74.0,0.08509449791085162,0.10996505873503769,,,,,,,,,,,
37,15782,2026-01-14 14:27:05.602873,2026-01-14 14:27:05.602873,0.0,27.0,9.0,65.0,0.0001,0.10996505873503769,,,,,,,,,,,
38,15783,2026-01-14 14:27:09.991580,2026-01-14 14:27:09.991580,0.0,22.0,30.0,66.0,0.0001,0.10996505873503769,,,,,,,,,,,
39,15784,2026-01-14 14:27:11.375122,2026-01-14 14:27:11.375122,0.0,29.0,10.0,62.0,0.0001,0.10996505873503769,,,,,,,,,,,
40,15785,2026-01-14 14:27:16.400170,2026-01-14 14:27:16.400170,0.0,33.0,9.0,82.0,0.0001,0.10996505873503769,,,,,,,,,,,
41,15786,2026-01-14 14:27:18.725872,2026-01-14 14:27:18.725872,0.0,21.0,27.0,61.0,0.0001,0.10996505873503769,,,,,,,,,,,
42,15787,2026-01-14 14:27:18.827186,2026-01-14 14:27:18.827186,0.0,21.0,28.0,83.0,0.0001,0.10996505873503769,,,,,,,,,,,
43,15788,2026-01-14 14:27:26.707762,2026-01-14 14:27:26.707762,0.0,24.0,27.0,66.0,0.0001,0.10996505873503769,,,,,,,,,,,
44,15789,2026-01-14 14:27:30.308551,2026-01-14 14:27:30.308551,0.0,39.0,7.0,75.0,0.0001,0.10996505873503769,,,,,,,,,,,
45,15790,2026-01-14 14:27:34.090672,2026-01-14 14:27:34.090672,0.0,33.0,18.0,81.0,0.09563927410261346,0.10996505873503769,,,,,,,,,,,
46,15791,2026-01-14 14:27:38.469506,2026-01-14 14:27:38.469506,0.0,30.0,14.0,71.0,0.0001,0.10996505873503769,,,,,,,,,,,
47,15792,2026-01-14 14:27:38.981869,2026-01-14 14:27:38.981869,0.0,29.0,21.0,74.0,0.0001,0.10996505873503769,,,,,,,,,,,
48,15793,2026-01-14 14:27:40.882932,2026-01-14 14:27:40.882932,0.0,45.0,7.0,74.0,0.0001,0.10996505873503769,,,,,,,,,,,
49,15794,2026-01-14 14:27:45.366084,2026-01-14 14:27:45.366084,0.0,20.0,20.0,75.0,0.0001,0.10996505873503769,,,,,,,,,,,
50,15795,2026-01-14 14:27:49.968556,2026-01-14 14:27:49.968556,0.0,33.0,27.0,85.0,0.0001,0.10996505873503769,,,,,,,,,,,
51,15796,2026-01-14 14:27:53.878202,2026-01-14 14:27:53.878202,0.0,20.0,30.0,85.0,0.0001,0.10996505873503769,,,,,,,,,,,
52,15797,2026-01-14 14:28:03.481121,2026-01-14 14:28:03.481121,0.0,29.0,7.0,75.0,0.0001,0.10996505873503769,,,,,,,,,,,
53,15798,2026-01-14 14:28:04.474848,2026-01-14 14:28:04.474848,0.0,44.0,7.0,77.0,0.0001,0.10996505873503769,,,,,,,,,,,
54,15799,2026-01-14 14:28:04.775932,2026-01-14 14:28:04.775932,0.0,25.0,22.0,69.0,0.0001,0.10996505873503769,,,,,,,,,,,
55,15800,2026-01-14 14:28:11.145278,2026-01-14 14:28:11.145278,0.0,21.0,25.0,60.0,0.0001,0.10996505873503769,,,,,,,,,,,
56,15801,2026-01-14 14:28:12.929709,2026-01-14 14:28:12.929709,0.0,40.0,18.0,84.0,0.12296674148760614,0.12296674148760614,,,,,,,,,,,
57,15802,2026-01-14 14:28:18.393616,2026-01-14 14:28:18.393616,0.0,31.0,27.0,78.0,0.0001,0.12296674148760614,,,,,,,,,,,
58,15803,2026-01-14 14:28:23.110826,2026-01-14 14:28:23.110826,0.0,31.0,12.0,85.0,0.11919580781812934,0.12296674148760614,,,,,,,,,,,
59,15804,2026-01-14 14:28:30.473368,2026-01-14 14:28:30.473368,0.0,20.0,20.0,61.0,0.0001,0.12296674148760614,,,,,,,,,,,
60,15805,2026-01-14 14:28:32.588542,2026-01-14 14:28:32.588542,0.0,45.0,7.0,65.0,0.0001,0.12296674148760614,,,,,,,,,,,
61,15806,2026-01-14 14:28:35.293015,2026-01-14 14:28:35.293015,0.0,45.0,30.0,60.0,0.0001,0.12296674148760614,,,,,,,,,,,
62,15807,2026-01-14 14:28:43.718545,2026-01-14 14:28:43.718545,0.0,28.0,27.0,79.0,0.0001,0.12296674148760614,,,,,,,,,,,
63,15808,2026-01-14 14:28:46.906519,2026-01-14 14:28:46.906519,0.0,45.0,16.0,75.0,0.0001,0.12296674148760614,,,,,,,,,,,
64,15809,2026-01-14 14:28:47.310642,2026-01-14 14:28:47.310642,0.0,41.0,7.0,66.0,0.0001,0.12296674148760614,,,,,,,,,,,
65,15810,2026-01-14 14:28:47.557943,2026-01-14 14:28:47.557943,0.0,39.0,15.0,81.0,0.08136797023300528,0.12296674148760614,,,,,,,,,,,
66,15811,2026-01-14 14:28:48.650696,2026-01-14 14:28:48.650696,0.0,28.0,27.0,71.0,0.0001,0.12296674148760614,,,,,,,,,,,
67,15812,2026-01-14 14:28:55.310898,2026-01-14 14:28:55.310898,0.0,25.0,23.0,60.0,0.0001,0.12296674148760614,,,,,,,,,,,
68,15813,2026-01-14 14:28:57.175434,2026-01-14 14:28:57.175434,0.0,28.0,30.0,76.0,0.0001,0.12296674148760614,,,,,,,,,,,
69,15814,2026-01-14 14:29:12.427300,2026-01-14 14:29:12.427300,0.0,44.0,26.0,77.0,0.12720834073663975,0.12720834073663975,,,,,,,,,,,
70,15815,2026-01-14 14:29:14.466875,2026-01-14 14:29:14.466875,0.0,37.0,12.0,78.0,0.0001,0.12720834073663975,,,,,,,,,,,
71,15816,2026-01-14 14:29:15.764917,2026-01-14 14:29:15.764917,0.0,45.0,30.0,72.0,0.0001,0.12720834073663975,,,,,,,,,,,
72,15817,2026-01-14 14:29:16.858605,2026-01-14 14:29:16.858605,0.0,20.0,30.0,69.0,0.0001,0.12720834073663975,,,,,,,,,,,
73,15818,2026-01-14 14:29:17.149308,2026-01-14 14:29:17.149308,0.0,21.0,16.0,64.0,0.0001,0.12720834073663975,,,,,,,,,,,
74,15819,2026-01-14 14:29:22.765184,2026-01-14 14:29:22.765184,0.0,41.0,27.0,78.0,0.14791908423283348,0.14791908423283348,,,,,,,,,,,
75,15820,2026-01-14 14:29:35.953620,2026-01-14 14:29:35.953620,0.0,32.0,11.0,62.0,0.0001,0.14791908423283348,,,,,,,,,,,
