trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,19343,2026-01-15 15:12:31.745127,2026-01-15 15:12:31.745127,0.0,18.0,1.637373730398587,56.0,81.0,18.0,0.0001,0.0001,-0.2329919562288981,-1.0074097028648443,-6.403511865636579,0.675,40,,,,,,
2,19344,2026-01-15 15:12:36.834906,2026-01-15 15:12:36.834906,0.0,35.0,1.5919302332183571,40.0,86.0,21.0,0.2832915678560496,0.2832915678560496,2.149630479286651,1.120961910520178,-0.34453510313314784,0.6666666666666666,15,-1.1153661998929978,-0.739486498085144,-1.8311193121826497,0.7,10,151.8864153928041
3,19345,2026-01-15 15:12:37.292447,2026-01-15 15:12:37.292447,0.0,33.0,1.70579163487667,57.0,74.0,19.0,0.0001,0.2832915678560496,-0.8084132000308092,-2.509205309862643,-4.690957564629439,0.6086956521739131,46,,,,,,
4,19346,2026-01-15 15:12:37.380691,2026-01-15 15:12:37.380691,0.0,30.0,2.0933931026715396,51.0,76.0,17.0,0.07230960352913052,0.2832915678560496,0.03848364599654541,0.03057041766689316,-4.571689327397488,0.6333333333333333,30,-1.3619383556870905,-1.2128891482857234,-2.483381451404343,0.6190476190476191,21,3639.0055188880715
5,19347,2026-01-15 15:12:37.484272,2026-01-15 15:12:37.484272,0.0,31.0,2.4283597780242223,58.0,81.0,16.0,0.0001,0.2832915678560496,-0.0178501641881909,-0.11133609817640946,-3.9915444461880556,0.7391304347826086,23,,,,,,
6,19348,2026-01-15 15:12:37.853133,2026-01-15 15:12:37.853133,0.0,30.0,1.7777534738272767,51.0,83.0,27.0,0.0001,0.2832915678560496,-1.218842189936892,-3.7058804212784096,-5.25076477340477,0.6571428571428571,35,,,,,,
7,19349,2026-01-15 15:12:38.311149,2026-01-15 15:12:38.311149,0.0,23.0,1.6434272812467752,55.0,76.0,21.0,0.1000701403002034,0.2832915678560496,0.16979205367553463,0.49141037767401047,-4.993438912360704,0.6363636363636364,44,-2.150473276368686,-3.7295139244033986,-3.7295139244032938,0.6666666666666666,27,1366.5335213378999
8,19350,2026-01-15 15:12:38.538763,2026-01-15 15:12:38.538763,0.0,16.0,1.8986447358584406,64.0,72.0,19.0,0.107953808471398,0.2832915678560496,0.1526316127847374,0.5441058028614442,-6.556634343947998,0.6818181818181818,66,-2.2106399797836596,-3.5219730848355626,-3.9789149861577555,0.5945945945945946,37,1548.3500104931836
9,19351,2026-01-15 15:12:38.617210,2026-01-15 15:12:38.617210,0.0,19.0,1.7931353401356565,43.0,79.0,20.0,0.2169062060223017,0.2832915678560496,1.0712521324876267,3.606180124745223,-4.7789547677585364,0.7272727272727273,33,-1.4988199447562063,-2.092137935867153,-2.799843001733948,0.625,16,239.9129018558587
10,19352,2026-01-15 15:12:38.680158,2026-01-15 15:12:38.680158,0.0,25.0,2.2886796379323258,46.0,80.0,17.0,0.06589315017453502,0.2832915678560496,0.0668212010349778,0.10285614633515397,-4.571689415752889,0.7894736842105263,19,-0.8035888895949369,-0.7399375055117418,-2.034158495581595,0.6153846153846154,13,1302.595698892475
11,19353,2026-01-15 15:12:38.847424,2026-01-15 15:12:38.847424,0.0,19.0,2.1509945789978775,45.0,71.0,24.0,0.14637722569359676,0.2832915678560496,0.4577147210254033,1.7000900382500679,-4.943282466812704,0.7291666666666666,48,-2.746131519684388,-4.051667339375213,-4.215686586458212,0.48,25,699.9657414409393
12,19354,2026-01-15 15:12:38.949257,2026-01-15 15:12:38.949257,0.0,35.0,1.8991641912583304,69.0,77.0,22.0,0.0001,0.2832915678560496,-1.2735319098759066,-4.814439141065631,-7.357541471950779,0.6078431372549019,51,,,,,,
13,19355,2026-01-15 15:12:40.502782,2026-01-15 15:12:40.502782,0.0,22.0,2.0430363524848985,57.0,71.0,29.0,0.0001,0.2832915678560496,-0.746630458979692,-3.7094839542764357,-7.909442957325896,0.6567164179104478,67,,,,,,
14,19356,2026-01-15 15:12:41.221144,2026-01-15 15:12:41.221144,0.0,18.0,1.6101500104659205,57.0,88.0,26.0,0.13931257557936055,0.2832915678560496,0.41647646344385153,1.4316632647591132,-4.097604863122184,0.6595744680851063,47,-3.2501430579019086,-5.916705060794639,-5.916705060794614,0.6060606060606061,33,880.3905726211791
15,19357,2026-01-15 15:12:41.387138,2026-01-15 15:12:41.387138,0.0,35.0,1.5938292602934814,61.0,81.0,16.0,0.07275847699812923,0.2832915678560496,0.07251616093290114,0.11881050489815123,-3.7900627636666795,0.76,25,-2.850886765570392,-3.407017868031436,-3.407017868031448,0.5789473684210527,19,4031.381265768197
16,19358,2026-01-15 15:12:41.496322,2026-01-15 15:12:41.496322,0.0,17.0,1.5257612974123773,58.0,84.0,23.0,0.09168219748882697,0.2832915678560496,0.09359739713075994,0.20913236753247674,-4.851664951672596,0.64,50,-3.2618984541605167,-6.071849924965581,-6.071849924965478,0.6060606060606061,33,3585.031159150176
