trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,23243,2026-01-15 22:52:28.406442,2026-01-15 22:52:28.406442,0.0,17.0,1.6537355124705295,56.0,73.0,25.0,0.0001,0.0001,-0.5648621382666268,-4.689718559590463,-11.501363073870785,0.6025641025641025,78,,,,,,
2,23244,2026-01-15 22:52:29.974725,2026-01-15 22:52:29.974725,0.0,18.0,1.7283268090720623,55.0,82.0,22.0,0.0001,0.0001,-0.7825325531205496,-5.858020912590735,-12.737420630505692,0.6037735849056604,53,,,,,,
3,23245,2026-01-15 22:52:30.065670,2026-01-15 22:52:30.065670,0.0,30.0,1.6167144283093222,68.0,87.0,17.0,0.0001,0.0001,-1.9573253278126206,-10.169382567710752,-13.48268618549816,0.5454545454545454,22,,,,,,
4,23246,2026-01-15 22:52:30.126257,2026-01-15 22:52:30.126257,0.0,21.0,1.537016034287478,67.0,83.0,22.0,0.0001,0.0001,-1.1402531171365338,-8.319556260901587,-15.391100326003116,0.6415094339622641,53,,,,,,
5,23247,2026-01-15 22:52:30.169450,2026-01-15 22:52:30.169450,0.0,33.0,2.0696153547904528,61.0,72.0,19.0,0.0001,0.0001,-0.3181966894801646,-2.4679710955372935,-6.064512583604065,0.5671641791044776,67,,,,,,
6,23248,2026-01-15 22:52:30.235841,2026-01-15 22:52:30.235841,0.0,19.0,2.4604207317073703,68.0,76.0,29.0,0.0001,0.0001,-0.8404788579658953,-6.621665059274013,-10.830764350186062,0.6582278481012658,79,,,,,,
7,23249,2026-01-15 22:52:30.556982,2026-01-15 22:52:30.556982,0.0,17.0,2.108220072368324,69.0,82.0,15.0,0.0001,0.0001,-1.0278091249293249,-7.477505746610149,-11.89580935816611,0.673469387755102,49,,,,,,
8,23250,2026-01-15 22:52:30.754905,2026-01-15 22:52:30.754905,0.0,26.0,1.7355807273784964,51.0,89.0,19.0,0.0001,0.0001,-2.2168459011297164,-10.612444633145039,-12.574011958630017,0.42105263157894735,19,,,,,,
9,23251,2026-01-15 22:52:31.048443,2026-01-15 22:52:31.048443,0.0,17.0,1.7493663269383117,60.0,76.0,24.0,0.0001,0.0001,-0.7556060297988042,-5.750144613098052,-11.01689283810795,0.589041095890411,73,,,,,,
10,23252,2026-01-15 22:52:31.474114,2026-01-15 22:52:31.474114,0.0,27.0,1.7053753722267722,68.0,84.0,16.0,0.0001,0.0001,-0.7749016476872138,-5.1295098711581115,-9.104642387101824,0.59375,32,,,,,,
