trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,13706,2026-01-13 20:02:48.095458,2026-01-13 20:02:48.095458,0.0,31.0,21.0,62.0,0.0001,0.0001,,,,,,,,,,,
2,13707,2026-01-13 20:02:49.033719,2026-01-13 20:02:49.033719,0.0,28.0,10.0,64.0,0.0001,0.0001,,,,,,,,,,,
3,13708,2026-01-13 20:02:50.673314,2026-01-13 20:02:50.673314,0.0,35.0,8.0,61.0,0.0001,0.0001,,,,,,,,,,,
4,13709,2026-01-13 20:02:56.525589,2026-01-13 20:02:56.525589,0.0,34.0,24.0,85.0,0.0001,0.0001,,,,,,,,,,,
5,13710,2026-01-13 20:03:03.382778,2026-01-13 20:03:03.382778,0.0,38.0,21.0,66.0,0.0001,0.0001,,,,,,,,,,,
6,13711,2026-01-13 20:03:06.442532,2026-01-13 20:03:06.442532,0.0,37.0,13.0,65.0,0.0001,0.0001,,,,,,,,,,,
7,13712,2026-01-13 20:03:11.090975,2026-01-13 20:03:11.090975,0.0,25.0,26.0,84.0,0.0001,0.0001,,,,,,,,,,,
8,13713,2026-01-13 20:03:16.956053,2026-01-13 20:03:16.956053,0.0,27.0,25.0,60.0,0.0001,0.0001,,,,,,,,,,,
9,13714,2026-01-13 20:03:18.820644,2026-01-13 20:03:18.820644,0.0,42.0,14.0,85.0,0.17011187877581233,0.17011187877581233,,,,,,,,,,,
10,13715,2026-01-13 20:03:20.361203,2026-01-13 20:03:20.361203,0.0,29.0,15.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
11,13716,2026-01-13 20:03:28.743800,2026-01-13 20:03:28.743800,0.0,37.0,16.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
12,13717,2026-01-13 20:03:29.165439,2026-01-13 20:03:29.165439,0.0,34.0,19.0,65.0,0.0001,0.17011187877581233,,,,,,,,,,,
13,13718,2026-01-13 20:03:29.913357,2026-01-13 20:03:29.913357,0.0,20.0,13.0,61.0,0.0001,0.17011187877581233,,,,,,,,,,,
