trial_num,trial_id,datetime_start,datetime_complete,duration_sec,risk_per_trade,stop_loss_multiplier,take_profit_multiplier,tema_fast_period,tema_slow_period,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,17343,2026-01-14 17:33:43.528059,2026-01-14 17:33:43.528059,0.0,1.1051467944518591,3.148019269877598,4.359999079650486,9.0,40.0,0.0001,0.0001,-2.658092609620469,-23.18260064728532,-25.805025416967286,0.33429394812680113,347,,,,,,
2,17344,2026-01-14 17:33:45.771551,2026-01-14 17:33:45.771551,0.0,1.850152584178924,2.032297880375036,1.9273724455727694,8.0,23.0,0.0001,0.0001,-0.5653803030082082,-10.1252981242107,-14.455052793677526,0.4191343963553531,439,,,,,,
3,17345,2026-01-14 17:33:45.887717,2026-01-14 17:33:45.887717,0.0,1.644977524625474,3.0268410927027602,4.959823594421527,6.0,29.0,0.0001,0.0001,-1.8029435032406245,-26.601625531560668,-30.648029255305588,0.3354564755838641,471,,,,,,
4,17346,2026-01-14 17:33:45.946570,2026-01-14 17:33:45.946570,0.0,2.9141393379028804,2.787760474662475,4.79562236289118,13.0,22.0,0.0001,0.0001,-0.7461655222467436,-17.520128760076513,-30.689966523404433,0.33613445378151263,357,,,,,,
5,17347,2026-01-14 17:33:46.131988,2026-01-14 17:33:46.131988,0.0,1.643205582243455,3.84177743967055,4.924918435262141,5.0,28.0,0.0001,0.0001,-2.031883440332343,-24.786126382612625,-28.630996231114437,0.3320235756385069,509,,,,,,
6,17348,2026-01-14 17:33:48.143254,2026-01-14 17:33:48.143254,0.0,2.6248366655214,3.4728867635670397,2.5501477935245207,9.0,24.0,0.0001,0.0001,-0.5771521654378153,-11.616431989272796,-21.391864400181348,0.40097799511002447,409,,,,,,
7,17349,2026-01-14 17:33:48.639137,2026-01-14 17:33:48.639137,0.0,1.9168369238489424,3.5229183886761906,3.399244406378209,11.0,35.0,0.0001,0.0001,-2.380524426465078,-29.871849634257742,-30.933058170240514,0.34365325077399383,323,,,,,,
8,17350,2026-01-14 17:33:48.722793,2026-01-14 17:33:48.722793,0.0,2.637459840646104,3.6026368787154226,4.2028240024822825,7.0,29.0,0.0001,0.0001,-1.4721690126720344,-26.740568963058504,-29.237924421856487,0.3422818791946309,447,,,,,,
9,17351,2026-01-14 17:33:48.913124,2026-01-14 17:33:48.913124,0.0,1.178207425710831,2.8267655252177013,4.719137045900348,14.0,30.0,0.0001,0.0001,-1.8208680859715054,-20.23435681065306,-25.102416107835836,0.33663366336633666,303,,,,,,
10,17352,2026-01-14 17:33:49.362581,2026-01-14 17:33:49.362581,0.0,1.8906433729531544,1.5278575332477584,1.5521237473931766,15.0,27.0,0.0001,0.0001,-0.13063175002642147,-3.2628467275236877,-18.870753907034686,0.4713804713804714,297,,,,,,
11,17353,2026-01-14 17:33:49.649047,2026-01-14 17:33:49.649047,0.0,1.7402227560335852,2.2302445853513673,4.2094889627796075,12.0,50.0,0.0001,0.0001,-2.2117425205410597,-32.25673621024065,-38.034111555856,0.3127147766323024,291,,,,,,
12,17354,2026-01-14 17:33:49.702122,2026-01-14 17:33:49.702122,0.0,1.2111045498904398,3.790093987196284,1.5165760803409838,5.0,28.0,0.0001,0.0001,-2.8034742105000103,-19.7007682485884,-20.228172716779124,0.43222003929273084,509,,,,,,
13,17355,2026-01-14 17:33:49.791622,2026-01-14 17:33:49.791622,0.0,1.9422953525792832,1.7200185155704077,4.224505396492367,17.0,32.0,0.0001,0.0001,-1.1126944524078366,-21.225683392026447,-27.174739562675377,0.30036630036630035,273,,,,,,
14,17356,2026-01-14 17:33:49.885883,2026-01-14 17:33:49.885883,0.0,1.7335578886687433,2.3433523309833793,3.2648786967390224,20.0,23.0,0.0001,0.0001,-0.20186631126769247,-5.132689202063875,-21.156136636880973,0.3776978417266187,278,,,,,,
15,17357,2026-01-14 17:33:50.214059,2026-01-14 17:33:50.214059,0.0,2.6589225293574286,2.257085767880301,4.736120542252453,14.0,32.0,0.0001,0.0001,-0.43242198504602775,-10.978682356468953,-24.889945060798734,0.33559322033898303,295,,,,,,
16,17358,2026-01-14 17:33:51.005050,2026-01-14 17:33:51.005050,0.0,1.473894393794434,1.8293395843225495,3.618554754460163,14.0,48.0,0.0001,0.0001,-1.595161048131191,-23.016464618506422,-28.98796239119532,0.3146067415730337,267,,,,,,
17,17359,2026-01-14 17:33:51.087092,2026-01-14 17:33:51.087092,0.0,1.668195009158704,1.8850367430329757,3.713006791251111,18.0,43.0,0.0001,0.0001,-0.7349420298276893,-13.221492029130285,-19.93484910407358,0.34177215189873417,237,,,,,,
18,17360,2026-01-14 17:33:51.266200,2026-01-14 17:33:51.266200,0.0,2.7720079225439833,3.1391900127186054,4.379710119382219,6.0,26.0,0.0001,0.0001,-0.8514711488792206,-20.351860288230966,-24.854879234334692,0.3407707910750507,493,,,,,,
