trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,19843,2026-01-15 19:39:19.100046,2026-01-15 19:39:25.558000,6.457954,18.0,2.267688364497321,44.0,75.0,15.0,0.1629793357514963,0.1629793357514963,,,,,,,,,,,
2,19844,2026-01-15 19:39:19.185583,2026-01-15 19:39:24.980578,5.794995,19.0,1.6132864023056062,50.0,90.0,24.0,0.0718027644856039,0.1629793357514963,,,,,,,,,,,
3,19845,2026-01-15 19:39:19.208011,2026-01-15 19:39:25.442972,6.234961,23.0,1.85106057653247,42.0,70.0,18.0,0.15678206972738598,0.1629793357514963,,,,,,,,,,,
4,19846,2026-01-15 19:39:19.242861,2026-01-15 19:39:25.079219,5.836358,31.0,1.7996344708474834,40.0,72.0,22.0,0.40603726312988475,0.40603726312988475,,,,,,,,,,,
5,19847,2026-01-15 19:39:24.770003,2026-01-15 19:39:24.770003,0.0,19.0,1.6132864023056062,50.0,90.0,24.0,0.0718027644856039,0.40603726312988475,0.015730514179746025,-0.1189266499726732,-6.406759726494061,0.7647058823529411,34,-1.4973733451835012,-2.269699400253455,-2.9915428936724053,0.6086956521739131,23,9618.90909650912
6,19848,2026-01-15 19:39:24.994328,2026-01-15 19:39:27.365906,2.371578,25.0,1.9680405673539512,55.0,84.0,29.0,0.0001,0.40603726312988475,,,,,,,,,,,
7,19849,2026-01-15 19:39:25.028493,2026-01-15 19:39:25.028493,0.0,31.0,1.7996344708474834,40.0,72.0,22.0,0.40603726312988475,0.40603726312988475,2.3071832373770755,2.8636632300841462,-0.9205255138498791,0.6153846153846154,39,-0.6212769248422879,-0.5364522495807221,-2.245956220351597,0.48,25,126.92794030302454
8,19850,2026-01-15 19:39:25.103378,2026-01-15 19:39:28.240764,3.137386,34.0,1.986116736569775,63.0,87.0,18.0,0.09570451902303283,0.40603726312988475,,,,,,,,,,,
9,19851,2026-01-15 19:39:25.411790,2026-01-15 19:39:25.411790,0.0,23.0,1.85106057653247,42.0,70.0,18.0,0.15678206972738598,0.40603726312988475,0.6169214810911632,1.5056550336253849,-4.917747171404341,0.7142857142857143,35,-2.0696876520228358,-3.054040929832295,-4.313438295416949,0.5,24,435.4863974524167
10,19852,2026-01-15 19:39:25.467725,2026-01-15 19:39:28.377505,2.90978,29.0,2.0966027557892715,68.0,73.0,16.0,0.1369703556944576,0.40603726312988475,,,,,,,,,,,
