trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,22243,2026-01-15 22:45:10.345935,2026-01-15 22:45:15.158533,4.812598,33.0,2.4363636321222755,61.0,82.0,26.0,0.0001,0.0001,,,,,,,,,,,
2,22244,2026-01-15 22:45:10.443817,2026-01-15 22:45:15.225031,4.781214,24.0,1.9064164329812905,59.0,88.0,19.0,0.0001,0.0001,,,,,,,,,,,
3,22245,2026-01-15 22:45:10.484734,2026-01-15 22:45:15.074618,4.589884,15.0,2.410689202638605,47.0,74.0,24.0,0.0001,0.0001,,,,,,,,,,,
4,22246,2026-01-15 22:45:10.509107,2026-01-15 22:45:15.291501,4.782394,23.0,2.4301335184059476,52.0,86.0,23.0,0.0001,0.0001,,,,,,,,,,,
5,22247,2026-01-15 22:45:15.041462,2026-01-15 22:45:15.041462,0.0,15.0,2.410689202638605,47.0,74.0,24.0,0.0001,0.0001,-2.279220904810854,-14.464651351639699,-17.828093771221276,0.5714285714285714,63,,,,,,
6,22248,2026-01-15 22:45:15.080273,2026-01-15 22:45:17.648488,2.568215,25.0,1.7935471564978844,67.0,70.0,23.0,0.0001,0.0001,,,,,,,,,,,
7,22249,2026-01-15 22:45:15.142344,2026-01-15 22:45:15.142344,0.0,33.0,2.4363636321222755,61.0,82.0,26.0,0.0001,0.0001,-0.7412530676338691,-4.523492775888936,-7.285228663195154,0.7058823529411765,51,,,,,,
8,22250,2026-01-15 22:45:15.166226,2026-01-15 22:45:17.797533,2.631307,35.0,2.1826231293987473,64.0,89.0,17.0,0.0001,0.0001,,,,,,,,,,,
9,22251,2026-01-15 22:45:15.214349,2026-01-15 22:45:15.214349,0.0,24.0,1.9064164329812905,59.0,88.0,19.0,0.0001,0.0001,-1.435472650379842,-8.481360248800588,-13.277339782864939,0.5769230769230769,26,,,,,,
10,22252,2026-01-15 22:45:15.235702,2026-01-15 22:45:17.735436,2.499734,15.0,2.1686988085332572,61.0,80.0,30.0,0.0001,0.0001,,,,,,,,,,,
11,22253,2026-01-15 22:45:15.270956,2026-01-15 22:45:15.270956,0.0,23.0,2.4301335184059476,52.0,86.0,23.0,0.0001,0.0001,-1.223822141766028,-6.084732283358585,-10.082132533486632,0.6428571428571429,28,,,,,,
12,22254,2026-01-15 22:45:15.314077,2026-01-15 22:45:17.872902,2.558825,19.0,1.5436384075302174,62.0,88.0,16.0,0.0001,0.0001,,,,,,,,,,,
13,22255,2026-01-15 22:45:17.614309,2026-01-15 22:45:17.614309,0.0,25.0,1.7935471564978844,67.0,70.0,23.0,0.0001,0.0001,-0.27054083429439185,-2.5549267829105515,-8.888976978378427,0.6025641025641025,78,,,,,,
14,22256,2026-01-15 22:45:17.658292,2026-01-15 22:45:20.042325,2.384033,35.0,1.5137146619042157,41.0,80.0,30.0,0.0001,0.0001,,,,,,,,,,,
15,22257,2026-01-15 22:45:17.719925,2026-01-15 22:45:17.719925,0.0,15.0,2.1686988085332572,61.0,80.0,30.0,0.0001,0.0001,-1.0905583983580331,-8.596819058060934,-13.632750660471672,0.5972222222222222,72,,,,,,
16,22258,2026-01-15 22:45:17.753595,2026-01-15 22:45:20.186636,2.433041,35.0,1.5848002833095172,56.0,90.0,16.0,0.0001,0.0001,,,,,,,,,,,
17,22259,2026-01-15 22:45:17.784190,2026-01-15 22:45:17.784190,0.0,35.0,2.1826231293987473,64.0,89.0,17.0,0.0001,0.0001,-1.8980764545375557,-7.5749342516103395,-8.79073435072144,0.5,14,,,,,,
18,22260,2026-01-15 22:45:17.814598,2026-01-15 22:45:20.267978,2.45338,30.0,1.5202614120011493,40.0,83.0,27.0,0.0001,0.0001,,,,,,,,,,,
