trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,27743,2026-01-15 23:57:52.835022,2026-01-15 23:57:55.160019,2.324997,33.0,16.0,81.0,0.0001,0.0001,,,,,,,,,,,
2,27744,2026-01-15 23:57:52.975541,2026-01-15 23:57:55.062895,2.087354,30.0,21.0,67.0,0.0001,0.0001,,,,,,,,,,,
3,27745,2026-01-15 23:57:53.011241,2026-01-15 23:57:55.362844,2.351603,22.0,14.0,63.0,0.0001,0.0001,,,,,,,,,,,
4,27746,2026-01-15 23:57:53.046052,2026-01-15 23:57:55.305052,2.259,42.0,8.0,67.0,0.0001,0.0001,,,,,,,,,,,
5,27747,2026-01-15 23:57:55.027676,2026-01-15 23:57:55.027676,0.0,30.0,21.0,67.0,0.0001,0.0001,,,,,,,,,,,
6,27748,2026-01-15 23:57:55.073191,2026-01-15 23:57:55.419639,0.346448,35.0,26.0,77.0,0.0001,0.0001,,,,,,,,,,,
7,27749,2026-01-15 23:57:55.134462,2026-01-15 23:57:55.134462,0.0,33.0,16.0,81.0,0.0001,0.0001,,,,,,,,,,,
8,27750,2026-01-15 23:57:55.242668,2026-01-15 23:57:55.574033,0.331365,24.0,27.0,81.0,0.0001,0.0001,,,,,,,,,,,
9,27751,2026-01-15 23:57:55.286902,2026-01-15 23:57:55.286902,0.0,42.0,8.0,67.0,0.0001,0.0001,-0.492111793248921,-7.559540290500061,-23.87902686092399,0.5957446808510638,47,,,,,,
10,27752,2026-01-15 23:57:55.318487,2026-01-15 23:57:55.646570,0.328083,27.0,18.0,66.0,0.0001,0.0001,,,,,,,,,,,
11,27753,2026-01-15 23:57:55.348799,2026-01-15 23:57:55.348799,0.0,22.0,14.0,63.0,0.0001,0.0001,,,,,,,,,,,
12,27754,2026-01-15 23:57:55.368255,2026-01-15 23:57:55.722341,0.354086,32.0,28.0,80.0,0.0001,0.0001,,,,,,,,,,,
13,27755,2026-01-15 23:57:55.414210,2026-01-15 23:57:55.414210,0.0,35.0,26.0,77.0,0.0001,0.0001,,,,,,,,,,,
14,27756,2026-01-15 23:57:55.425410,2026-01-15 23:57:55.811402,0.385992,26.0,19.0,85.0,0.0001,0.0001,,,,,,,,,,,
15,27757,2026-01-15 23:57:55.552873,2026-01-15 23:57:55.552873,0.0,24.0,27.0,81.0,0.0001,0.0001,,,,,,,,,,,
16,27758,2026-01-15 23:57:55.593293,2026-01-15 23:57:55.923801,0.330508,29.0,21.0,72.0,0.0001,0.0001,,,,,,,,,,,
17,27759,2026-01-15 23:57:55.636002,2026-01-15 23:57:55.636002,0.0,27.0,18.0,66.0,0.0001,0.0001,,,,,,,,,,,
18,27760,2026-01-15 23:57:55.651438,2026-01-15 23:57:56.310954,0.659516,38.0,22.0,72.0,0.09410979405530626,0.09410979405530626,,,,,,,,,,,
19,27761,2026-01-15 23:57:55.697158,2026-01-15 23:57:55.697158,0.0,32.0,28.0,80.0,0.0001,0.09410979405530626,,,,,,,,,,,
20,27762,2026-01-15 23:57:55.748897,2026-01-15 23:57:56.250729,0.501832,38.0,21.0,85.0,0.0001,0.09410979405530626,,,,,,,,,,,
21,27763,2026-01-15 23:57:55.790622,2026-01-15 23:57:55.790622,0.0,26.0,19.0,85.0,0.0001,0.09410979405530626,,,,,,,,,,,
22,27764,2026-01-15 23:57:55.829192,2026-01-15 23:57:56.377790,0.548598,38.0,22.0,72.0,0.09410979405530626,0.09410979405530626,,,,,,,,,,,
23,27765,2026-01-15 23:57:55.910759,2026-01-15 23:57:55.910759,0.0,29.0,21.0,72.0,0.0001,0.09410979405530626,,,,,,,,,,,
24,27766,2026-01-15 23:57:55.935647,2026-01-15 23:57:56.442990,0.507343,39.0,11.0,70.0,0.08487171084053441,0.09410979405530626,,,,,,,,,,,
25,27767,2026-01-15 23:57:56.157350,2026-01-15 23:57:56.157350,0.0,38.0,21.0,85.0,0.0001,0.09410979405530626,,,,,,,,,,,
26,27768,2026-01-15 23:57:56.274105,2026-01-15 23:57:56.538056,0.263951,20.0,12.0,60.0,0.0001,0.09410979405530626,,,,,,,,,,,
