trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,26543,2026-01-15 23:41:26.010477,2026-01-15 23:41:30.429964,4.419487,42.0,21.0,60.0,0.0001,0.0001,,,,,,,,,,,
2,26544,2026-01-15 23:41:26.071376,2026-01-15 23:41:30.310651,4.239275,35.0,12.0,62.0,0.0001,0.0001,,,,,,,,,,,
3,26545,2026-01-15 23:41:26.099263,2026-01-15 23:41:30.265612,4.166349,40.0,21.0,69.0,0.0001,0.0001,,,,,,,,,,,
4,26546,2026-01-15 23:41:26.135240,2026-01-15 23:41:30.208761,4.073521,24.0,24.0,78.0,0.0001,0.0001,,,,,,,,,,,
5,26547,2026-01-15 23:41:30.118007,2026-01-15 23:41:30.118007,0.0,24.0,24.0,78.0,0.0001,0.0001,,,,,,,,,,,
6,26548,2026-01-15 23:41:30.236923,2026-01-15 23:41:30.590267,0.353344,34.0,20.0,72.0,0.0001,0.0001,,,,,,,,,,,
7,26549,2026-01-15 23:41:30.258042,2026-01-15 23:41:30.258042,0.0,40.0,21.0,69.0,0.0001,0.0001,,,,,,,,,,,
8,26550,2026-01-15 23:41:30.275368,2026-01-15 23:41:30.713693,0.438325,22.0,11.0,79.0,0.0001,0.0001,,,,,,,,,,,
9,26551,2026-01-15 23:41:30.292802,2026-01-15 23:41:30.292802,0.0,35.0,12.0,62.0,0.0001,0.0001,-1.1881688812575597,-18.303566363800005,-30.59800076399506,0.5833333333333334,12,,,,,,
10,26552,2026-01-15 23:41:30.335425,2026-01-15 23:41:30.771792,0.436367,25.0,28.0,70.0,0.0001,0.0001,,,,,,,,,,,
11,26553,2026-01-15 23:41:30.373712,2026-01-15 23:41:30.373712,0.0,42.0,21.0,60.0,0.0001,0.0001,-0.0775115002470665,-2.507320799150002,-19.57850179213524,0.5454545454545454,11,,,,,,
12,26554,2026-01-15 23:41:30.458135,2026-01-15 23:41:30.889464,0.431329,37.0,7.0,83.0,0.0001,0.0001,,,,,,,,,,,
13,26555,2026-01-15 23:41:30.571163,2026-01-15 23:41:30.571163,0.0,34.0,20.0,72.0,0.0001,0.0001,,,,,,,,,,,
14,26556,2026-01-15 23:41:30.610195,2026-01-15 23:41:31.090625,0.48043,45.0,30.0,84.0,0.0001,0.0001,,,,,,,,,,,
15,26557,2026-01-15 23:41:30.687368,2026-01-15 23:41:30.687368,0.0,22.0,11.0,79.0,0.0001,0.0001,,,,,,,,,,,
16,26558,2026-01-15 23:41:30.724071,2026-01-15 23:41:31.143740,0.419669,44.0,30.0,64.0,0.0001,0.0001,,,,,,,,,,,
17,26559,2026-01-15 23:41:30.756083,2026-01-15 23:41:30.756083,0.0,25.0,28.0,70.0,0.0001,0.0001,,,,,,,,,,,
18,26560,2026-01-15 23:41:30.784318,2026-01-15 23:41:31.247066,0.462748,29.0,15.0,64.0,0.0001,0.0001,,,,,,,,,,,
19,26561,2026-01-15 23:41:30.871551,2026-01-15 23:41:30.871551,0.0,37.0,7.0,83.0,0.0001,0.0001,-0.7297059418163019,-22.006527522750034,-35.143015862792204,0.5454545454545454,22,,,,,,
20,26562,2026-01-15 23:41:30.907885,2026-01-15 23:41:31.316305,0.40842,45.0,16.0,64.0,0.0001,0.0001,,,,,,,,,,,
21,26563,2026-01-15 23:41:31.058524,2026-01-15 23:41:31.058524,0.0,45.0,30.0,84.0,0.0001,0.0001,,,,,,,,,,,
22,26564,2026-01-15 23:41:31.098765,2026-01-15 23:41:31.412808,0.314043,30.0,16.0,65.0,0.0001,0.0001,,,,,,,,,,,
23,26565,2026-01-15 23:41:31.126645,2026-01-15 23:41:31.126645,0.0,44.0,30.0,64.0,0.0001,0.0001,-0.01634297539591443,-4.2747423460500205,-27.28349441927056,0.6666666666666666,6,,,,,,
24,26566,2026-01-15 23:41:31.185659,2026-01-15 23:41:31.546762,0.361103,29.0,14.0,65.0,0.0001,0.0001,,,,,,,,,,,
25,26567,2026-01-15 23:41:31.217782,2026-01-15 23:41:31.217782,0.0,29.0,15.0,64.0,0.0001,0.0001,,,,,,,,,,,
26,26568,2026-01-15 23:41:31.263036,2026-01-15 23:41:31.690819,0.427783,40.0,17.0,66.0,0.0001,0.0001,,,,,,,,,,,
27,26569,2026-01-15 23:41:31.301618,2026-01-15 23:41:31.301618,0.0,45.0,16.0,64.0,0.0001,0.0001,-1.0053504886258608,-21.064781711650063,-30.344426472579254,0.56,25,,,,,,
28,26570,2026-01-15 23:41:31.328789,2026-01-15 23:41:32.079711,0.750922,40.0,24.0,67.0,0.0001,0.0001,,,,,,,,,,,
29,26571,2026-01-15 23:41:31.391393,2026-01-15 23:41:31.391393,0.0,30.0,16.0,65.0,0.0001,0.0001,,,,,,,,,,,
30,26572,2026-01-15 23:41:31.433490,2026-01-15 23:41:32.190108,0.756618,39.0,24.0,60.0,0.0001,0.0001,,,,,,,,,,,
31,26573,2026-01-15 23:41:31.518381,2026-01-15 23:41:31.518381,0.0,29.0,14.0,65.0,0.0001,0.0001,,,,,,,,,,,
32,26574,2026-01-15 23:41:31.562442,2026-01-15 23:41:32.412227,0.849785,40.0,24.0,60.0,0.0001,0.0001,,,,,,,,,,,
33,26575,2026-01-15 23:41:31.667886,2026-01-15 23:41:31.667886,0.0,40.0,17.0,66.0,0.0001,0.0001,-0.44357691980913927,-10.370877487400017,-19.747103200561757,0.6363636363636364,11,,,,,,
34,26576,2026-01-15 23:41:31.706794,2026-01-15 23:41:32.478032,0.771238,38.0,23.0,60.0,0.0001,0.0001,,,,,,,,,,,
35,26577,2026-01-15 23:41:32.035462,2026-01-15 23:41:32.035462,0.0,40.0,24.0,67.0,0.0001,0.0001,,,,,,,,,,,
36,26578,2026-01-15 23:41:32.094727,2026-01-15 23:41:32.562390,0.467663,37.0,23.0,76.0,0.0001,0.0001,,,,,,,,,,,
37,26579,2026-01-15 23:41:32.145964,2026-01-15 23:41:32.145964,0.0,39.0,24.0,60.0,0.0001,0.0001,,,,,,,,,,,
38,26580,2026-01-15 23:41:32.220964,2026-01-15 23:41:32.836493,0.615529,42.0,22.0,76.0,0.0001,0.0001,,,,,,,,,,,
39,26581,2026-01-15 23:41:32.355189,2026-01-15 23:41:32.355189,0.0,40.0,24.0,60.0,0.0001,0.0001,,,,,,,,,,,
40,26582,2026-01-15 23:41:32.428504,2026-01-15 23:41:32.758114,0.32961,32.0,22.0,62.0,0.0001,0.0001,,,,,,,,,,,
41,26583,2026-01-15 23:41:32.462186,2026-01-15 23:41:32.462186,0.0,38.0,23.0,60.0,0.0001,0.0001,,,,,,,,,,,
42,26584,2026-01-15 23:41:32.488403,2026-01-15 23:41:32.911041,0.422638,42.0,20.0,76.0,0.0001,0.0001,,,,,,,,,,,
43,26585,2026-01-15 23:41:32.533393,2026-01-15 23:41:32.533393,0.0,37.0,23.0,76.0,0.0001,0.0001,,,,,,,,,,,
44,26586,2026-01-15 23:41:32.586866,2026-01-15 23:41:32.974865,0.387999,33.0,20.0,62.0,0.0001,0.0001,,,,,,,,,,,
45,26587,2026-01-15 23:41:32.744303,2026-01-15 23:41:32.744303,0.0,32.0,22.0,62.0,0.0001,0.0001,,,,,,,,,,,
46,26588,2026-01-15 23:41:32.775200,2026-01-15 23:41:33.104833,0.329633,25.0,26.0,74.0,0.0001,0.0001,,,,,,,,,,,
47,26589,2026-01-15 23:41:32.813800,2026-01-15 23:41:32.813800,0.0,42.0,22.0,76.0,0.0001,0.0001,,,,,,,,,,,
48,26590,2026-01-15 23:41:32.847947,2026-01-15 23:41:33.245658,0.397711,20.0,26.0,74.0,0.0001,0.0001,,,,,,,,,,,
49,26591,2026-01-15 23:41:32.894341,2026-01-15 23:41:32.894341,0.0,42.0,20.0,76.0,0.0001,0.0001,,,,,,,,,,,
50,26592,2026-01-15 23:41:32.927676,2026-01-15 23:41:33.348481,0.420805,25.0,26.0,79.0,0.0001,0.0001,,,,,,,,,,,
51,26593,2026-01-15 23:41:32.952518,2026-01-15 23:41:32.952518,0.0,33.0,20.0,62.0,0.0001,0.0001,,,,,,,,,,,
52,26594,2026-01-15 23:41:32.992561,2026-01-15 23:41:33.457632,0.465071,25.0,26.0,74.0,0.0001,0.0001,,,,,,,,,,,
53,26595,2026-01-15 23:41:33.063699,2026-01-15 23:41:33.063699,0.0,25.0,26.0,74.0,0.0001,0.0001,,,,,,,,,,,
54,26596,2026-01-15 23:41:33.117660,2026-01-15 23:41:33.532827,0.415167,20.0,9.0,80.0,0.0001,0.0001,,,,,,,,,,,
55,26597,2026-01-15 23:41:33.206137,2026-01-15 23:41:33.206137,0.0,20.0,26.0,74.0,0.0001,0.0001,,,,,,,,,,,
56,26598,2026-01-15 23:41:33.267494,2026-01-15 23:41:33.693998,0.426504,35.0,9.0,81.0,0.0001,0.0001,,,,,,,,,,,
57,26599,2026-01-15 23:41:33.326205,2026-01-15 23:41:33.326205,0.0,25.0,26.0,79.0,0.0001,0.0001,,,,,,,,,,,
58,26600,2026-01-15 23:41:33.376500,2026-01-15 23:41:33.915656,0.539156,35.0,9.0,71.0,0.0001,0.0001,,,,,,,,,,,
59,26601,2026-01-15 23:41:33.418549,2026-01-15 23:41:33.418549,0.0,25.0,26.0,74.0,0.0001,0.0001,,,,,,,,,,,
60,26602,2026-01-15 23:41:33.476615,2026-01-15 23:41:34.040708,0.564093,35.0,18.0,70.0,0.0001,0.0001,,,,,,,,,,,
61,26603,2026-01-15 23:41:33.519387,2026-01-15 23:41:33.519387,0.0,20.0,9.0,80.0,0.0001,0.0001,,,,,,,,,,,
62,26604,2026-01-15 23:41:33.553145,2026-01-15 23:41:33.989301,0.436156,27.0,18.0,71.0,0.0001,0.0001,,,,,,,,,,,
63,26605,2026-01-15 23:41:33.674844,2026-01-15 23:41:33.674844,0.0,35.0,9.0,81.0,0.0001,0.0001,-1.7003378030234793,-36.06861932975003,-45.16841284562631,0.5,10,,,,,,
64,26606,2026-01-15 23:41:33.762183,2026-01-15 23:41:34.510903,0.74872,27.0,18.0,72.0,0.0001,0.0001,,,,,,,,,,,
65,26607,2026-01-15 23:41:33.872429,2026-01-15 23:41:33.872429,0.0,35.0,9.0,71.0,0.0001,0.0001,-2.2145171670738373,-32.58980191240003,-37.77942846228446,0.5294117647058824,17,,,,,,
66,26608,2026-01-15 23:41:33.928534,2026-01-15 23:41:34.466014,0.53748,23.0,18.0,69.0,0.0001,0.0001,,,,,,,,,,,
67,26609,2026-01-15 23:41:33.971828,2026-01-15 23:41:33.971828,0.0,27.0,18.0,71.0,0.0001,0.0001,,,,,,,,,,,
68,26610,2026-01-15 23:41:34.001103,2026-01-15 23:41:34.565071,0.563968,22.0,19.0,69.0,0.0001,0.0001,,,,,,,,,,,
69,26611,2026-01-15 23:41:34.025662,2026-01-15 23:41:34.025662,0.0,35.0,18.0,70.0,0.0001,0.0001,,,,,,,,,,,
70,26612,2026-01-15 23:41:34.049861,2026-01-15 23:41:34.690537,0.640676,23.0,21.0,68.0,0.0001,0.0001,,,,,,,,,,,
71,26613,2026-01-15 23:41:34.445504,2026-01-15 23:41:34.445504,0.0,23.0,18.0,69.0,0.0001,0.0001,,,,,,,,,,,
72,26614,2026-01-15 23:41:34.475620,2026-01-15 23:41:35.097159,0.621539,43.0,21.0,68.0,0.058854159132371055,0.058854159132371055,,,,,,,,,,,
73,26615,2026-01-15 23:41:34.496677,2026-01-15 23:41:34.496677,0.0,27.0,18.0,72.0,0.0001,0.058854159132371055,,,,,,,,,,,
74,26616,2026-01-15 23:41:34.523963,2026-01-15 23:41:34.842227,0.318264,36.0,21.0,68.0,0.0001,0.058854159132371055,,,,,,,,,,,
75,26617,2026-01-15 23:41:34.555169,2026-01-15 23:41:34.555169,0.0,22.0,19.0,69.0,0.0001,0.058854159132371055,,,,,,,,,,,
76,26618,2026-01-15 23:41:34.575233,2026-01-15 23:41:34.969894,0.394661,43.0,11.0,77.0,0.0001,0.058854159132371055,,,,,,,,,,,
77,26619,2026-01-15 23:41:34.678221,2026-01-15 23:41:34.678221,0.0,23.0,21.0,68.0,0.0001,0.058854159132371055,,,,,,,,,,,
78,26620,2026-01-15 23:41:34.697993,2026-01-15 23:41:35.446826,0.748833,43.0,13.0,78.0,0.0001,0.058854159132371055,,,,,,,,,,,
79,26621,2026-01-15 23:41:34.830847,2026-01-15 23:41:34.830847,0.0,36.0,21.0,68.0,0.0001,0.058854159132371055,,,,,,,,,,,
80,26622,2026-01-15 23:41:34.855902,2026-01-15 23:41:35.308332,0.45243,43.0,12.0,78.0,0.0001,0.058854159132371055,,,,,,,,,,,
81,26623,2026-01-15 23:41:34.945117,2026-01-15 23:41:34.945117,0.0,43.0,11.0,77.0,0.0001,0.058854159132371055,-0.9686905386436755,-32.85168595515,-49.602281869146815,0.5789473684210527,19,,,,,,
82,26624,2026-01-15 23:41:34.996303,2026-01-15 23:41:35.515408,0.519105,41.0,28.0,85.0,0.0001,0.058854159132371055,,,,,,,,,,,
83,26625,2026-01-15 23:41:35.055965,2026-01-15 23:41:35.055965,0.0,43.0,21.0,68.0,0.058854159132371055,0.058854159132371055,0.17843943657096742,-0.8081357500000377,-27.281801611961864,0.5555555555555556,9,1.3575669946737554,16.21796641644999,-21.082473000380265,0.625,8,-660.7998661965263
84,26626,2026-01-15 23:41:35.146939,2026-01-15 23:41:35.627574,0.480635,41.0,25.0,63.0,0.0001,0.058854159132371055,,,,,,,,,,,
85,26627,2026-01-15 23:41:35.262848,2026-01-15 23:41:35.262848,0.0,43.0,12.0,78.0,0.0001,0.058854159132371055,-0.5705329585971587,-26.645755826499983,-52.36130115402942,0.46153846153846156,13,,,,,,
86,26628,2026-01-15 23:41:35.336653,2026-01-15 23:41:35.862578,0.525925,41.0,25.0,61.0,0.0001,0.058854159132371055,,,,,,,,,,,
87,26629,2026-01-15 23:41:35.418518,2026-01-15 23:41:35.418518,0.0,43.0,13.0,78.0,0.0001,0.058854159132371055,-0.048578200001341616,-12.859955296799988,-48.049116680494976,0.6153846153846154,13,,,,,,
88,26630,2026-01-15 23:41:35.452882,2026-01-15 23:41:36.203784,0.750902,44.0,25.0,63.0,0.1940942185481843,0.1940942185481843,,,,,,,,,,,
89,26631,2026-01-15 23:41:35.482284,2026-01-15 23:41:35.482284,0.0,41.0,28.0,85.0,0.0001,0.1940942185481843,,,,,,,,,,,
90,26632,2026-01-15 23:41:35.546620,2026-01-15 23:41:35.999655,0.453035,44.0,25.0,61.0,0.0001,0.1940942185481843,,,,,,,,,,,
91,26633,2026-01-15 23:41:35.600447,2026-01-15 23:41:35.600447,0.0,41.0,25.0,63.0,0.0001,0.1940942185481843,,,,,,,,,,,
