trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,14306,2026-01-13 22:56:26.673000,2026-01-13 22:56:40.470050,0.0,25.0,25.0,64.0,0.0001,0.0001,,,,,,,,,,,
2,14307,2026-01-13 22:56:26.745079,2026-01-13 22:56:42.186136,0.0,33.0,19.0,64.0,0.0001,0.0001,,,,,,,,,,,
3,14308,2026-01-13 22:56:26.767651,2026-01-13 22:56:40.786978,0.0,23.0,24.0,83.0,0.0001,0.0001,,,,,,,,,,,
4,14309,2026-01-13 22:56:26.803447,2026-01-13 22:56:42.431401,0.0,36.0,30.0,71.0,0.0001,0.0001,,,,,,,,,,,
5,14310,2026-01-13 22:56:40.300461,2026-01-13 22:56:40.300461,0.0,25.0,25.0,64.0,0.0001,0.0001,,,,,,,,,,,
6,14311,2026-01-13 22:56:40.560345,2026-01-13 22:56:53.090540,0.0,21.0,21.0,69.0,0.0001,0.0001,,,,,,,,,,,
7,14312,2026-01-13 22:56:40.642091,2026-01-13 22:56:40.642091,0.0,23.0,24.0,83.0,0.0001,0.0001,,,,,,,,,,,
8,14313,2026-01-13 22:56:40.823674,2026-01-13 22:56:54.071306,0.0,23.0,8.0,70.0,0.0001,0.0001,,,,,,,,,,,
9,14314,2026-01-13 22:56:42.062839,2026-01-13 22:56:42.062839,0.0,33.0,19.0,64.0,0.0001,0.0001,,,,,,,,,,,
10,14315,2026-01-13 22:56:42.230315,2026-01-13 22:56:54.944897,0.0,25.0,12.0,61.0,0.0001,0.0001,,,,,,,,,,,
11,14316,2026-01-13 22:56:42.318650,2026-01-13 22:56:42.318650,0.0,36.0,30.0,71.0,0.0001,0.0001,,,,,,,,,,,
12,14317,2026-01-13 22:56:42.670267,2026-01-13 22:56:55.065565,0.0,21.0,22.0,77.0,0.0001,0.0001,,,,,,,,,,,
13,14318,2026-01-13 22:56:52.809376,2026-01-13 22:56:52.809376,0.0,21.0,21.0,69.0,0.0001,0.0001,,,,,,,,,,,
14,14319,2026-01-13 22:56:53.220813,2026-01-13 22:57:10.241703,0.0,45.0,11.0,60.0,0.0001,0.0001,,,,,,,,,,,
15,14320,2026-01-13 22:56:54.041143,2026-01-13 22:56:54.041143,0.0,23.0,8.0,70.0,0.0001,0.0001,,,,,,,,,,,
16,14321,2026-01-13 22:56:54.092292,2026-01-13 22:57:08.168869,0.0,29.0,14.0,60.0,0.0001,0.0001,,,,,,,,,,,
17,14322,2026-01-13 22:56:54.882086,2026-01-13 22:56:54.882086,0.0,25.0,12.0,61.0,0.0001,0.0001,,,,,,,,,,,
18,14323,2026-01-13 22:56:54.970988,2026-01-13 22:57:22.536516,0.0,44.0,15.0,77.0,0.12087427980798883,0.12087427980798883,,,,,,,,,,,
19,14324,2026-01-13 22:56:55.023753,2026-01-13 22:56:55.023753,0.0,21.0,22.0,77.0,0.0001,0.12087427980798883,,,,,,,,,,,
20,14325,2026-01-13 22:56:55.101242,2026-01-13 22:57:13.341547,0.0,45.0,16.0,65.0,0.0001,0.12087427980798883,,,,,,,,,,,
21,14326,2026-01-13 22:57:08.053189,2026-01-13 22:57:08.053189,0.0,29.0,14.0,60.0,0.0001,0.12087427980798883,,,,,,,,,,,
22,14327,2026-01-13 22:57:08.556780,2026-01-13 22:57:25.801142,0.0,44.0,27.0,66.0,0.0001,0.12087427980798883,,,,,,,,,,,
23,14328,2026-01-13 22:57:10.188578,2026-01-13 22:57:10.188578,0.0,45.0,11.0,60.0,0.0001,0.12087427980798883,,,,,,,,,,,
24,14329,2026-01-13 22:57:10.284550,2026-01-13 22:57:28.879688,0.0,41.0,27.0,66.0,0.1522287233000511,0.1522287233000511,,,,,,,,,,,
25,14330,2026-01-13 22:57:13.290396,2026-01-13 22:57:13.290396,0.0,45.0,16.0,65.0,0.0001,0.1522287233000511,,,,,,,,,,,
26,14331,2026-01-13 22:57:13.397767,2026-01-13 22:57:29.035556,0.0,29.0,25.0,83.0,0.0001,0.1522287233000511,,,,,,,,,,,
27,14332,2026-01-13 22:57:22.460886,2026-01-13 22:57:22.460886,0.0,44.0,15.0,77.0,0.12087427980798883,0.1522287233000511,,,,,,,,,,,
28,14333,2026-01-13 22:57:22.571974,2026-01-13 22:57:43.946339,0.0,41.0,27.0,76.0,0.14557772805499303,0.1522287233000511,,,,,,,,,,,
29,14334,2026-01-13 22:57:25.777128,2026-01-13 22:57:25.777128,0.0,44.0,27.0,66.0,0.0001,0.1522287233000511,,,,,,,,,,,
30,14335,2026-01-13 22:57:25.817022,2026-01-13 22:57:42.792426,0.0,41.0,17.0,76.0,0.0001,0.1522287233000511,,,,,,,,,,,
31,14336,2026-01-13 22:57:28.829302,2026-01-13 22:57:28.829302,0.0,41.0,27.0,66.0,0.1522287233000511,0.1522287233000511,,,,,,,,,,,
32,14337,2026-01-13 22:57:28.942105,2026-01-13 22:57:48.679412,0.0,41.0,28.0,75.0,0.13568724045299121,0.1522287233000511,,,,,,,,,,,
33,14338,2026-01-13 22:57:29.013354,2026-01-13 22:57:29.013354,0.0,29.0,25.0,83.0,0.0001,0.1522287233000511,,,,,,,,,,,
34,14339,2026-01-13 22:57:29.050516,2026-01-13 22:57:43.484241,0.0,40.0,28.0,74.0,0.0001,0.1522287233000511,,,,,,,,,,,
35,14340,2026-01-13 22:57:42.754605,2026-01-13 22:57:42.754605,0.0,41.0,17.0,76.0,0.0001,0.1522287233000511,,,,,,,,,,,
36,14341,2026-01-13 22:57:42.798648,2026-01-13 22:58:05.029867,0.0,41.0,28.0,79.0,0.08240135495917626,0.1522287233000511,,,,,,,,,,,
37,14342,2026-01-13 22:57:43.468574,2026-01-13 22:57:43.468574,0.0,40.0,28.0,74.0,0.0001,0.1522287233000511,,,,,,,,,,,
38,14343,2026-01-13 22:57:43.496754,2026-01-13 22:58:00.192754,0.0,37.0,14.0,79.0,0.0001,0.1522287233000511,,,,,,,,,,,
39,14344,2026-01-13 22:57:43.724457,2026-01-13 22:57:43.724457,0.0,41.0,27.0,76.0,0.14557772805499303,0.1522287233000511,,,,,,,,,,,
40,14345,2026-01-13 22:57:43.963504,2026-01-13 22:58:00.574398,0.0,37.0,29.0,80.0,0.0001,0.1522287233000511,,,,,,,,,,,
41,14346,2026-01-13 22:57:48.620813,2026-01-13 22:57:48.620813,0.0,41.0,28.0,75.0,0.13568724045299121,0.1522287233000511,,,,,,,,,,,
42,14347,2026-01-13 22:57:48.693055,2026-01-13 22:58:10.271916,0.0,37.0,23.0,80.0,0.0703537081802965,0.1522287233000511,,,,,,,,,,,
43,14348,2026-01-13 22:58:00.150737,2026-01-13 22:58:00.150737,0.0,37.0,14.0,79.0,0.0001,0.1522287233000511,,,,,,,,,,,
44,14349,2026-01-13 22:58:00.211199,2026-01-13 22:58:19.203066,0.0,39.0,30.0,81.0,0.0001,0.1522287233000511,,,,,,,,,,,
45,14350,2026-01-13 22:58:00.549983,2026-01-13 22:58:00.549983,0.0,37.0,29.0,80.0,0.0001,0.1522287233000511,,,,,,,,,,,
46,14351,2026-01-13 22:58:00.588004,2026-01-13 22:58:12.174940,0.0,39.0,26.0,68.0,0.0001,0.1522287233000511,,,,,,,,,,,
47,14352,2026-01-13 22:58:04.952059,2026-01-13 22:58:04.952059,0.0,41.0,28.0,79.0,0.08240135495917626,0.1522287233000511,,,,,,,,,,,
48,14353,2026-01-13 22:58:05.055292,2026-01-13 22:58:17.202297,0.0,39.0,26.0,72.0,0.0001,0.1522287233000511,,,,,,,,,,,
49,14354,2026-01-13 22:58:10.053132,2026-01-13 22:58:10.053132,0.0,37.0,23.0,80.0,0.0703537081802965,0.1522287233000511,,,,,,,,,,,
50,14355,2026-01-13 22:58:10.318720,2026-01-13 22:58:21.647614,0.0,35.0,26.0,72.0,0.0001,0.1522287233000511,,,,,,,,,,,
51,14356,2026-01-13 22:58:12.152696,2026-01-13 22:58:12.152696,0.0,39.0,26.0,68.0,0.0001,0.1522287233000511,,,,,,,,,,,
52,14357,2026-01-13 22:58:12.185566,2026-01-13 22:58:29.488397,0.0,43.0,30.0,72.0,0.0001,0.1522287233000511,,,,,,,,,,,
53,14358,2026-01-13 22:58:17.132348,2026-01-13 22:58:17.132348,0.0,39.0,26.0,72.0,0.0001,0.1522287233000511,,,,,,,,,,,
54,14359,2026-01-13 22:58:17.221695,2026-01-13 22:58:27.629757,0.0,35.0,30.0,63.0,0.0001,0.1522287233000511,,,,,,,,,,,
55,14360,2026-01-13 22:58:19.181441,2026-01-13 22:58:19.181441,0.0,39.0,30.0,81.0,0.0001,0.1522287233000511,,,,,,,,,,,
56,14361,2026-01-13 22:58:19.216239,2026-01-13 22:58:40.815362,0.0,42.0,24.0,74.0,0.07749125595958131,0.1522287233000511,,,,,,,,,,,
57,14362,2026-01-13 22:58:21.584801,2026-01-13 22:58:21.584801,0.0,35.0,26.0,72.0,0.0001,0.1522287233000511,,,,,,,,,,,
58,14363,2026-01-13 22:58:21.665617,2026-01-13 22:58:41.677407,0.0,42.0,29.0,74.0,0.13953360796394237,0.1522287233000511,,,,,,,,,,,
59,14364,2026-01-13 22:58:27.579873,2026-01-13 22:58:27.579873,0.0,35.0,30.0,63.0,0.0001,0.1522287233000511,,,,,,,,,,,
60,14365,2026-01-13 22:58:27.667646,2026-01-13 22:58:48.007175,0.0,43.0,24.0,74.0,0.0676855465805819,0.1522287233000511,,,,,,,,,,,
61,14366,2026-01-13 22:58:29.463570,2026-01-13 22:58:29.463570,0.0,43.0,30.0,72.0,0.0001,0.1522287233000511,,,,,,,,,,,
62,14367,2026-01-13 22:58:29.500223,2026-01-13 22:58:50.685827,0.0,42.0,24.0,74.0,0.07749125595958131,0.1522287233000511,,,,,,,,,,,
63,14368,2026-01-13 22:58:40.800379,2026-01-13 22:58:40.800379,0.0,42.0,24.0,74.0,0.07749125595958131,0.1522287233000511,,,,,,,,,,,
64,14369,2026-01-13 22:58:40.919691,2026-01-13 22:59:03.516455,0.0,42.0,27.0,75.0,0.10338155505058785,0.1522287233000511,,,,,,,,,,,
65,14370,2026-01-13 22:58:41.666103,2026-01-13 22:58:41.666103,0.0,42.0,29.0,74.0,0.13953360796394237,0.1522287233000511,,,,,,,,,,,
66,14371,2026-01-13 22:58:41.689488,2026-01-13 22:59:03.865373,0.0,43.0,27.0,75.0,0.1534853768747182,0.1534853768747182,,,,,,,,,,,
67,14372,2026-01-13 22:58:47.953124,2026-01-13 22:58:47.953124,0.0,43.0,24.0,74.0,0.0676855465805819,0.1534853768747182,,,,,,,,,,,
68,14373,2026-01-13 22:58:48.054204,2026-01-13 22:59:10.586355,0.0,42.0,27.0,76.0,0.10258900443293213,0.1534853768747182,,,,,,,,,,,
69,14374,2026-01-13 22:58:50.669013,2026-01-13 22:58:50.669013,0.0,42.0,24.0,74.0,0.07749125595958131,0.1534853768747182,,,,,,,,,,,
70,14375,2026-01-13 22:58:50.712312,2026-01-13 22:59:06.129675,0.0,40.0,27.0,76.0,0.0001,0.1534853768747182,,,,,,,,,,,
71,14376,2026-01-13 22:59:02.619293,2026-01-13 22:59:02.619293,0.0,42.0,27.0,75.0,0.10338155505058785,0.1534853768747182,,,,,,,,,,,
72,14377,2026-01-13 22:59:03.550907,2026-01-13 22:59:21.173512,0.0,40.0,29.0,70.0,0.07766101868256435,0.1534853768747182,,,,,,,,,,,
73,14378,2026-01-13 22:59:03.728739,2026-01-13 22:59:03.728739,0.0,43.0,27.0,75.0,0.1534853768747182,0.1534853768747182,,,,,,,,,,,
74,14379,2026-01-13 22:59:03.963673,2026-01-13 22:59:15.768714,0.0,31.0,25.0,76.0,0.0001,0.1534853768747182,,,,,,,,,,,
75,14380,2026-01-13 22:59:06.024795,2026-01-13 22:59:06.024795,0.0,40.0,27.0,76.0,0.0001,0.1534853768747182,,,,,,,,,,,
76,14381,2026-01-13 22:59:06.188234,2026-01-13 22:59:31.561115,0.0,44.0,29.0,78.0,0.08689833783578498,0.1534853768747182,,,,,,,,,,,
77,14382,2026-01-13 22:59:10.531583,2026-01-13 22:59:10.531583,0.0,42.0,27.0,76.0,0.10258900443293213,0.1534853768747182,,,,,,,,,,,
78,14383,2026-01-13 22:59:10.657403,2026-01-13 22:59:34.646379,0.0,44.0,29.0,78.0,0.08689833783578498,0.1534853768747182,,,,,,,,,,,
79,14384,2026-01-13 22:59:15.576511,2026-01-13 22:59:15.576511,0.0,31.0,25.0,76.0,0.0001,0.1534853768747182,,,,,,,,,,,
80,14385,2026-01-13 22:59:15.873582,2026-01-13 22:59:40.576260,0.0,44.0,29.0,78.0,0.08689833783578498,0.1534853768747182,,,,,,,,,,,
81,14386,2026-01-13 22:59:21.110499,2026-01-13 22:59:21.110499,0.0,40.0,29.0,70.0,0.07766101868256435,0.1534853768747182,,,,,,,,,,,
82,14387,2026-01-13 22:59:21.545497,2026-01-13 22:59:45.112482,0.0,44.0,20.0,78.0,0.15099715200467742,0.1534853768747182,,,,,,,,,,,
83,14388,2026-01-13 22:59:31.509949,2026-01-13 22:59:31.509949,0.0,44.0,29.0,78.0,0.08689833783578498,0.1534853768747182,,,,,,,,,,,
84,14389,2026-01-13 22:59:31.721938,2026-01-13 22:59:54.499835,0.0,45.0,19.0,73.0,0.12124686842573833,0.1534853768747182,,,,,,,,,,,
85,14390,2026-01-13 22:59:34.591962,2026-01-13 22:59:34.591962,0.0,44.0,29.0,78.0,0.08689833783578498,0.1534853768747182,,,,,,,,,,,
86,14391,2026-01-13 22:59:34.664421,2026-01-13 22:59:51.463249,0.0,38.0,28.0,73.0,0.08571612373517422,0.1534853768747182,,,,,,,,,,,
87,14392,2026-01-13 22:59:40.484817,2026-01-13 22:59:40.484817,0.0,44.0,29.0,78.0,0.08689833783578498,0.1534853768747182,,,,,,,,,,,
88,14393,2026-01-13 22:59:40.604772,2026-01-13 22:59:57.601873,0.0,38.0,28.0,73.0,0.08571612373517422,0.1534853768747182,,,,,,,,,,,
89,14394,2026-01-13 22:59:45.075064,2026-01-13 22:59:45.075064,0.0,44.0,20.0,78.0,0.15099715200467742,0.1534853768747182,,,,,,,,,,,
90,14395,2026-01-13 22:59:45.147698,2026-01-13 23:00:09.531046,0.0,45.0,20.0,73.0,0.13088100226630214,0.1534853768747182,,,,,,,,,,,
91,14396,2026-01-13 22:59:51.401413,2026-01-13 22:59:51.401413,0.0,38.0,28.0,73.0,0.08571612373517422,0.1534853768747182,,,,,,,,,,,
92,14397,2026-01-13 22:59:51.495549,2026-01-13 23:00:07.129315,0.0,45.0,18.0,66.0,0.0001,0.1534853768747182,,,,,,,,,,,
93,14398,2026-01-13 22:59:54.391347,2026-01-13 22:59:54.391347,0.0,45.0,19.0,73.0,0.12124686842573833,0.1534853768747182,,,,,,,,,,,
94,14399,2026-01-13 22:59:54.819537,2026-01-13 23:00:11.996261,0.0,43.0,20.0,66.0,0.0001,0.1534853768747182,,,,,,,,,,,
95,14400,2026-01-13 22:59:57.518449,2026-01-13 22:59:57.518449,0.0,38.0,28.0,73.0,0.08571612373517422,0.1534853768747182,,,,,,,,,,,
96,14401,2026-01-13 22:59:57.748777,2026-01-13 23:00:23.510907,0.0,43.0,18.0,77.0,0.08781691755315071,0.1534853768747182,,,,,,,,,,,
97,14402,2026-01-13 23:00:07.046844,2026-01-13 23:00:07.046844,0.0,45.0,18.0,66.0,0.0001,0.1534853768747182,,,,,,,,,,,
98,14403,2026-01-13 23:00:07.349478,2026-01-13 23:00:31.910107,0.0,43.0,26.0,77.0,0.11768668481115062,0.1534853768747182,,,,,,,,,,,
99,14404,2026-01-13 23:00:09.094367,2026-01-13 23:00:09.094367,0.0,45.0,20.0,73.0,0.13088100226630214,0.1534853768747182,,,,,,,,,,,
100,14405,2026-01-13 23:00:09.670168,2026-01-13 23:00:34.203266,0.0,43.0,25.0,77.0,0.1283328532840871,0.1534853768747182,,,,,,,,,,,
101,14406,2026-01-13 23:00:11.150919,2026-01-13 23:00:11.150919,0.0,43.0,20.0,66.0,0.0001,0.1534853768747182,,,,,,,,,,,
102,14407,2026-01-13 23:00:12.084903,2026-01-13 23:00:36.343018,0.0,41.0,22.0,77.0,0.11752279055768071,0.1534853768747182,,,,,,,,,,,
103,14408,2026-01-13 23:00:23.415211,2026-01-13 23:00:23.415211,0.0,43.0,18.0,77.0,0.08781691755315071,0.1534853768747182,,,,,,,,,,,
104,14409,2026-01-13 23:00:23.787331,2026-01-13 23:00:39.069761,0.0,41.0,9.0,75.0,0.0001,0.1534853768747182,,,,,,,,,,,
105,14410,2026-01-13 23:00:31.815782,2026-01-13 23:00:31.815782,0.0,43.0,26.0,77.0,0.11768668481115062,0.1534853768747182,,,,,,,,,,,
106,14411,2026-01-13 23:00:32.142874,2026-01-13 23:00:48.379305,0.0,41.0,21.0,75.0,0.0001,0.1534853768747182,,,,,,,,,,,
107,14412,2026-01-13 23:00:34.191968,2026-01-13 23:00:34.191968,0.0,43.0,25.0,77.0,0.1283328532840871,0.1534853768747182,,,,,,,,,,,
