trial_num,trial_id,datetime_start,datetime_complete,duration_sec,risk_per_trade,stop_loss_multiplier,take_profit_multiplier,tema_fast_period,tema_slow_period,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,17843,2026-01-14 17:41:29.736041,2026-01-14 17:41:33.286368,3.550327,2.983440822844971,2.1446888120562564,4.903800902128767,13.0,33.0,0.0001,0.0001,,,,,,,,,,,
2,17844,2026-01-14 17:41:29.828707,2026-01-14 17:41:33.204249,3.375542,1.2158412336640314,4.12879139587301,2.789340142281434,6.0,45.0,0.0001,0.0001,,,,,,,,,,,
3,17845,2026-01-14 17:41:29.881752,2026-01-14 17:41:33.093441,3.211689,2.818172404144639,2.7230549287554995,2.322610359094755,17.0,43.0,0.0001,0.0001,,,,,,,,,,,
4,17846,2026-01-14 17:41:29.941187,2026-01-14 17:41:33.337741,3.396554,2.9112650183297855,2.6656889624369566,4.7450797399334155,8.0,39.0,0.0001,0.0001,,,,,,,,,,,
5,17847,2026-01-14 17:41:33.014771,2026-01-14 17:41:33.014771,0.0,2.818172404144639,2.7230549287554995,2.322610359094755,17.0,43.0,0.0001,0.0001,-1.7100586461269565,-25.4966586087409,-26.673718100177002,0.4122448979591837,245,,,,,,
6,17848,2026-01-14 17:41:33.115093,2026-01-14 17:41:33.608347,0.493254,2.0173851661218145,3.963466219665623,4.989440699284662,20.0,34.0,0.0001,0.0001,,,,,,,,,,,
7,17849,2026-01-14 17:41:33.179138,2026-01-14 17:41:33.179138,0.0,1.2158412336640314,4.12879139587301,2.789340142281434,6.0,45.0,0.0001,0.0001,-2.2313373861450945,-16.44984822876903,-17.726167067898523,0.3366093366093366,407,,,,,,
8,17850,2026-01-14 17:41:33.252192,2026-01-14 17:41:34.036690,0.784498,1.9367485982516264,1.693355254555013,2.6670010918807074,15.0,36.0,0.13110557533791808,0.13110557533791808,,,,,,,,,,,
9,17851,2026-01-14 17:41:33.271952,2026-01-14 17:41:33.271952,0.0,2.983440822844971,2.1446888120562564,4.903800902128767,13.0,33.0,0.0001,0.13110557533791808,-0.5841760247159102,-13.754240803362999,-26.059488497580485,0.33222591362126247,301,,,,,,
10,17852,2026-01-14 17:41:33.298634,2026-01-14 17:41:33.825157,0.526523,2.4420857835220238,2.5961040046499866,4.745905642773575,14.0,47.0,0.0001,0.13110557533791808,,,,,,,,,,,
11,17853,2026-01-14 17:41:33.316070,2026-01-14 17:41:33.316070,0.0,2.9112650183297855,2.6656889624369566,4.7450797399334155,8.0,39.0,0.0001,0.13110557533791808,-2.378086452578675,-40.24956787384956,-43.21585886053939,0.3049095607235142,387,,,,,,
12,17854,2026-01-14 17:41:33.345632,2026-01-14 17:41:33.923596,0.577964,1.0172793508602953,1.9043544890970814,4.726007443896341,8.0,40.0,0.0001,0.13110557533791808,,,,,,,,,,,
